Nome,codigo
Acionamento Hidráulico e Pneumático,ACHP
Projeto Social,PRS
Projeto de Conclusão de Curso,PCCM
Sistema de Supervisão,SSUP
Controle de Qualidade,CTR
Gestão de Manutenção,GEA1
Robótica II,ROB2
Gestão Empresarial,GEMP
Inteligência Artificial,INA
Libras,LPE
Linguagem de Programação Estruturada,LPE
Fundamentos da Educação Superior,FES
Educação e Diversidade,ED
Metodologia da Pesquisa I,MTP1
Estrutura e Funcionamento do Ensino Superior,EFES
Metodologia da Pesquisa II,MTP2
Fundamentos Psicológicos da Educação,FPE
Didática do Ensino Superior,DES
Novas Tecnologias e Formação Docente,NTFD
Currículo Planejamento e Avaliação Educacional,CPAD
Empreendedorismo e Redes de Cooperação em Educação,ERCE
Política Gestão e Avaliação do Ensino Superior,PGAES
Tópicos Especiais I Ludicidade na Educação Superior,TE1
Tópicos Especiais II Educação Profissional e Tecnológica,TE2
Tópicos Especiais III Educação a Distância,TE3
Comunicação e Linguagem,COML
Fundamentos da Matemática I,FMA1
Fundamentos Sócio-Filosóficos da Educação,FSFE
Geometria Plana e Espacial,LRPO
Introdução às Ciências,INTC
Trigonometria,TRG
Desenho Geométrico,DGEO
Fundamentos da Matemática II,FMA2
Geometria Analítica Plana e Números Complexos,GAPN
História da Educação no Brasil,HEB
Laboratório do Ensino da Matemática,LEM
Cálculo I,CAL1
Estrutura e Funcionamento do Ensino,EFEN
Fundamentos da Matemática III,EMAQ
Geometria Analítica Espacial,GAE
Psicologia do Desenvolvimento,PSID
Cálculo II,CAL2
Currículos e Programas,CPRO
Didática Educacional,DIDE
Informática Aplicada ao Ensino,IAE
Libras,LIB
Probabilidades,PROB
Álgebra Linear,ALIN
Cálculo III,CAL3
Estágio I,EST1
Estatística,ESTA
Programa Residência Pedagógica,PRPE
Psicologia da Aprendizagem,PAPR
Equações Diferenciais e Séries,EDS
Estágio II,EST2
Lógica de Programação,LRPO
Teoria dos Números,ACHP
Organização e Gestão da Educação Brasileira,OGEP
Cálculo Numérico,CALN
Estágio III,EST3
Estruturas Algébricas,EALG
Matemática Comercial e Financeira,MATC
Língua Brasileira dos Sinais,LIBRAS
Metodologia do Ensino da Matemática,MEM
Estágio IV,EST4
Introdução à Variável Complexa,IVC
História da Matemática,HISM
Introdução à Análise,INTA
Monografia,MONO
Física Aplicada,FISA
Tópicos de Álgebra,TPA
Linguagem de Programação,LPRO
Arte de Resolver Problemas,ARP
Matemática Computacional,MTCP
Educação Inclusiva,EDIC
Introdução às Ciências da Natureza I,ICN1
Pré-Cálculo,PCAL
Introdução à Física I,IFS1
Psicologia do Desenvolvimento,PD
Fundamentos Filosóficos e Sociológicos da Educação,FFSE
Cálculo Diferencial e Integral I,CDI1
Geometria Analítica e Álgebra Linear,GAAL
Introdução a Física II,INF2
Introdução às Ciências da Natureza II,ICN2
História da Educação,HD
Psicologia da Aprendizagem,PLA
Cálculo Diferencial e Integral II,CDI2
Mecânica Básica I,MB1
Seminário I Educação Ambiental,SM1
Política Educacional,PLE
Didática,DIT
Cálculo Diferencial e Integral III,CDI3
Mecânica Básica II,MB2
Física Experimental I,FSE1
Metodologia do Ensino da Mecânica,MTEM
Cálculo Diferencial e Integral IV,CDI4
Eletricidade e Magnetismo I,ELM1
Metodologia do Ensino de Termodinâmica,MTET
Currículos e Programas,CRP
Estágio Supervisionado I,EST1
Estágio Supervisionado II,EST2
Projeto Social,PRS
Eletricidade e Magnetismo II,ELM2
Oscilações e Ondas,OCEO
Metodologia do Ensino de Eletricidade e Magnetismo,MEEM
Física Experimental II,FSE2
Estágio Supervisionado III,EST3
Trabalho de Conclusão de Curso I,TCC1
Ética,OTC
Física Moderna,FSM
História da Física,HSF
Estágio Supervisionado IV,EST4
Introdução à Mecânica Quântica,IMQ
Física Experimental III,INTA
Educação Inclusiva,EI
Metodologia do Ensino de Ética e Física Moderna,MEOFM
Trabalho de Conclusão de Curso II,TCC2
Seminários II Educação Para as Relações Étnico-Raciais,SM2
Informática Aplicada ao Ensino da Física,IAEF
Eletrodinâmica,ELT
Eletrônica Analógica,EA
Eletrônica Digital,ED
Física Moderna II,FSM2
Artes I,ART1
Biologia I,BIO1
Educação Física I,EDF1
Filosofia I,FL1
Física I,FS1
Geografia I,GEO1
História I,HST1
Inglês I,ING1
Português I,PORT1
Química I,QUI1
Introdução ao Curso e Orientação Profissional,ITCOP
Informática Básica,IFB
Matemática I,MT1
Desenho Técnico,DST
Artes II,ART2
Biologia II,BIO2
Espanhol I,ESP1
Física II,FS2
Geografia II,GEO2
História II,HST2
Matemática II,MT2
Português II,PORT2
Química II,QUI2
Sociologia I,SOC1
Técnicas de Manutenção,TECM
Educação Física II,EDF2
Biologia III,ELM1
Artes III,ART3
Desenho Auxiliado por Computador,CAD
Filosofia II,FL2
Geografia III,GEO3
Inglês II,ING2
História III,HST3
Matemática III,MT3
Português III,PORT3
Química III,QUI3
Análise de Circuitos,ANC
Educação Física III,EDF3
Física III,FS3
Biologia IV,BIO4
Espanhol II,ESP2
Física IV,FS4
Geografia IV,GEO4
História IV,HST4
Matemática IV,MT4
Português IV,PORT4
Química IV,QUI4
Sociologia II,SOC2
Eletricidade CA,ELCA
Eletrônica Básica,ELB
Educação Física IV,EDF4
Artes IV,ART4
Biologia V,BIO5
Educação Física V,EDF5
Filosofia III,FL3
Física V,FS4
Geografia V,GEO5
Inglês III,ING3
Matemática V,MT5
Português V,PORT5
Química V,QUI5
Comandos Elétricos,CME
Eletrônica Industrial,ELIN
Gestão e Empreendedorismo,GEMP
Instalações Elétricas em Baixa Tensão,IEBT
História V,HST5
Transformadores,TRF
Medidas Elétricas,MDE
Biologia VI,BIO6
Física VI,FS6
Geografia VI,GEO6
História VI,HST6
Matemática VI,MT6
Português VI,PORT6
Química VI,QUI6
Redes Industriais,REIT
Sensores e Transdutores,SETR
Máquinas de Corrente Alternada,MCA
Subestações Industriais,SBI
Sistemas de Potência,SPOT
Educação Física VI,EDF6
Espanhol III,ESP3
Sociologia III,SOC3
Conservação de Energia,COEN
Máquinas de Corrente Contínua,MQCC
Redes de Distribuição,RDIS
Geografia I,GEO1
Química I,QUI1
Introdução a Lógica de Programação,ILPRO
Espanhol I,ESP1
Arquitetura Montagem e Manutenção de Computadores,AMMC
Tecnologias Web,TWEB
Artes II,ART2
Biologia II,BIO2
Espanhol II,ESP2
Geografia III,GEO3
Química III,QUI3
Introdução a Estrutura de Dados,IED
Sistemas Operacionais,SO
História IV,HST4
Banco de Dados,BD
Programação WEB,PWEB
Biologia V,BIO5
Espanhol IV,ESP4
Gestão e Empreendedorismo,GSEM
Biologia VI,BIO6
Geografia VI,GEO6
História VI,HST6
Administração de Redes com Software Livre,ADRSL
Estágio,EST
Laboratório de Desenvolvimento de Software,LDS
Desenho Técnico,DTE
Manutenção de Máquinas e Equipamentos,MMEQ
Planejamento e Controle da Produção,PCP
Máquinas Hidráulicas e Pneumáticas,MHP
Tecnologia Mecânica,TECM
Máquinas Térmicas,MAQT
Tecnologia da Soldagem,TSOL
Acionamentos Hidráulicos e Pneumáticos,AHP
Comandos Elétricos,CELE
Ensaios Mecânicos,EMAT
Mecanismos,MECN
Robótica Industrial,ROBI
Eletricidade Aplicada,ELAP
Informática Básica,INFB
Mecânica Geral,MECG
Metrologia,METR
Bombas Hidráulicas e Compressores,BHC
Desenho Assistido por Computador,CAD
Mecanismos,MCN
Robótica Industrial,ROBI
Acionamentos Hidráulicos e Pneumáticos,ACHP
Elementos de Máquinas,EMAQ
Máquinas Térmicas,MAQT
Tecnologia Mecânica,TECM
Análise de Circuitos CC,ACCC
Matemática Aplicada,MATA
Gestão e Empreendedorismo,GEEM
Análise de Circuitos CA,ANCA
Medidas Elétricas,ME
Controle e Planejamento de Manutenção,CPMT
Eletrônica Básica,ELBA
Eletromagnetismo Aplicado,ELMA
Gerenciamento de Energia,GERE
Instalações Elétricas Industriais,IEPR
Automação Industrial,AUTI
Energias Renováveis,ENRV
Máquinas Elétricas,MAQE
Subestações Industriais,SUBI
Eletrônica de Potência,ELTP
Redes de Distribuição,REDS
Comunicação e Redação Empresarial,CRE
Informática e Tecnologias Aplicadas,IFTA
Introdução à Administração,INTA
Gestão de Pessoas,GESP
Aspectos Legais de Gestão Empresarial,ALGE
Matemática Básica e Lógica Matemática,MBLM
Empreendedorismo e Inovação I,EMI1
Administração Estratégica,ADME
Marketing Digital,MKTD
Empreendedorismo e Inovação II,EMI2
Matemática Financeira,MTF
Contabilidade Geral,CNTB
Gestão Financeira,GSTF
Estatística,EST
Logística,LOG
Gestão de Processos e Qualidade,GSPQ
Arte Educação Cultural e Música,AECM
Educação Física,EDF
